Run,serotype,antigen_formula,target_acc,biosample_acc,asm_acc,scientific_name
SRR30131572,,,PDT002291799.1,SAMN43035878,GCA_041058405.1,Acinetobacter baumannii
SRR19369805,,,PDT001325751.1,SAMN28158591,GCA_023773555.1,Acinetobacter baumannii
,,,PDT001874307.1,SAMN37160975,GCA_031158595.1,Acinetobacter baumannii
,,,PDT000359928.1,SAMN06460856,GCA_003356685.1,Acinetobacter baumannii
SRR14613704,,,PDT001044805.3,SAMN19298810,GCA_018453885.3,Acinetobacter baumannii
SRR14634862,,,PDT001046084.3,SAMN19317565,GCA_018495075.3,Acinetobacter baumannii
SRR15377057,,,PDT001106496.3,SAMN20674975,GCA_019506225.3,Acinetobacter baumannii
,,,PDT001218566.1,SAMN19523611,GCA_021385315.1,Acinetobacter baumannii
,,,PDT000837100.1,SAMN15915108,GCA_014531335.1,Acinetobacter baumannii
ERR10708863,,,PDT001873280.1,SAMEA112187645,GCA_031183375.1,Acinetobacter baumannii
,,,PDT002247471.1,SAMN38108010,GCA_040599525.1,Acinetobacter baumannii
,,,PDT001292344.1,SAMN20599408,GCA_023001145.1,Acinetobacter baumannii
SRR16474313,,,PDT001156989.9,SAMN22374273,GCA_020559685.3,Acinetobacter baumannii
,,,PDT000094628.1,SAMN04211921,GCA_001441475.1,Acinetobacter baumannii
SRR28706149,,,PDT002139499.1,SAMN40983121,GCA_038302495.1,Acinetobacter baumannii
SRR14862521,,,PDT001135588.1,SAMN19774614,GCA_020108375.1,Acinetobacter baumannii
SRR12519165,,,PDT000821577.3,SAMN15907099,GCA_016483855.3,Acinetobacter baumannii
,,,PDT000023622.1,SAMN02404525,GCA_000584755.1,Acinetobacter baumannii 1482820
SRR28462996,,,PDT002123028.1,SAMN40621172,GCA_037667435.1,Acinetobacter baumannii
,,,PDT002125174.1,SAMN40560150,GCA_037724785.1,Acinetobacter baumannii
SRR12519175,,,PDT000821587.3,SAMN15907214,GCA_016482995.3,Acinetobacter baumannii
,,,PDT002247274.1,SAMN38755912,GCA_040595685.1,Acinetobacter baumannii
SRR22257081,,,PDT001483309.3,SAMN31684554,GCA_026137805.3,Acinetobacter baumannii
,,,PDT001866876.1,SAMN12287030,GCA_030928705.1,Acinetobacter baumannii
SRR16520637,,,PDT001159233.3,SAMN22334954,GCA_020575825.3,Acinetobacter baumannii
SRR16610125,,,PDT001164006.1,SAMN22568388,GCA_020679085.1,Acinetobacter baumannii
,,,PDT000359912.1,SAMN06460872,GCA_003356365.1,Acinetobacter baumannii
SRR3228490,,,PDT000114677.2,SAMN04555302,GCA_016521335.2,Acinetobacter baumannii
,,,PDT000354421.1,SAMEA104305314,GCA_900495925.1,Acinetobacter baumannii
,,,PDT001974647.1,SAMN38031123,GCA_033446465.1,Acinetobacter baumannii
SRR24216226,,,PDT001694471.3,SAMN34251286,GCA_031137575.2,Acinetobacter baumannii
SRR20017241,,,PDT001354248.3,SAMN29577039,GCA_024187695.3,Acinetobacter baumannii
SRR30251496,,,PDT002323244.1,SAMN43202078,GCA_041297435.1,Acinetobacter baumannii
SRR24163227,,,PDT001689501.3,SAMN34174931,GCA_029735915.3,Acinetobacter baumannii
SRR21995855,,,PDT001465470.1,SAMN28991075,GCA_025852475.1,Acinetobacter baumannii
SRR16610186,,,PDT001164067.3,SAMN22568452,GCA_020677445.3,Acinetobacter baumannii
,,,PDT000605708.1,SAMD00174788,GCA_008978925.1,Acinetobacter baumannii
SRR27305633,,,PDT002036916.1,SAMN38982042,GCA_034575715.1,Acinetobacter baumannii
,,,PDT000679367.1,SAMN13943303,GCA_010179395.1,Acinetobacter baumannii
SRR29589302,,,PDT002231918.1,SAMN42035127,GCA_040361115.1,Acinetobacter baumannii
,,,PDT001292350.1,SAMN20599401,GCA_023001255.1,Acinetobacter baumannii
,,,PDT000156242.1,SAMN04745455,GCA_001864755.1,Acinetobacter baumannii
SRR23232353,,,PDT001591648.2,SAMN32818023,GCA_028175185.2,Acinetobacter baumannii
SRR25005501,,,PDT001787710.2,SAMN35877951,GCA_031115315.2,Acinetobacter baumannii
SRR17311706,,,PDT001210566.3,SAMN24300547,GCA_021305515.3,Acinetobacter baumannii
SRR22285612,,,PDT001495983.1,SAMN31716264,GCA_026329935.1,Acinetobacter baumannii
SRR17304958,,,PDT001383187.1,SAMN24294125,GCA_024617265.1,Acinetobacter baumannii
SRR25241268,,,PDT001816269.1,SAMN36409134,GCA_031110145.1,Acinetobacter baumannii
,,,PDT000605896.1,SAMD00174977,GCA_008990745.1,Acinetobacter baumannii
,,,PDT002029811.1,SAMN38375534,GCA_034365745.1,Acinetobacter baumannii
SRR13228369,,,PDT000907972.3,SAMN17019569,GCA_028064855.3,Acinetobacter baumannii
SRR14154237,,,PDT001001319.3,SAMN18636592,GCA_017831295.3,Acinetobacter baumannii
SRR28397392,,,PDT002118569.1,SAMN40554624,GCA_037434385.1,Acinetobacter baumannii
,,,PDT001006888.1,SAMN16659810,GCA_017952625.1,Acinetobacter baumannii
SRR28539043,,,PDT002130230.1,SAMN40738132,GCA_037956945.1,Acinetobacter baumannii
,,,PDT000300606.2,SAMN08637738,GCA_003020405.2,Acinetobacter baumannii
,,,PDT000257788.1,SAMN07311775,GCA_002634345.1,Acinetobacter baumannii
SRR22455796,,,PDT001506245.1,SAMN31900694,GCA_026558575.1,Acinetobacter baumannii
,,,PDT000309511.1,SAMN08123206,GCA_003070915.1,Acinetobacter baumannii
SRR14634814,,,PDT001046036.4,SAMN19317609,GCA_018496175.3,Acinetobacter baumannii
,,,PDT000417649.1,SAMN10249089,GCA_003940135.1,Acinetobacter baumannii
SRR22455554,,,PDT001506003.1,SAMN31900740,GCA_026563415.1,Acinetobacter baumannii
,,,PDT001218668.1,SAMN19523508,GCA_021387365.1,Acinetobacter baumannii
SRR19370218,,,PDT001325856.1,SAMN28613893,GCA_023776295.1,Acinetobacter baumannii
,,,PDT002045048.1,SAMN36721192,GCA_035022145.1,Acinetobacter baumannii
SRR24299716,,,PDT001706432.3,SAMN34367218,GCA_031136035.2,Acinetobacter baumannii
SRR29008062,,,PDT002163238.1,SAMN41382253,GCA_039625425.1,Acinetobacter baumannii
