Run,serotype,antigen_formula,target_acc,biosample_acc,asm_acc,scientific_name
ERR1853017,,,PDT000423716.1,SAMEA4532133,GCA_022294615.1,Klebsiella pneumoniae
,,,PDT001893952.1,SAMN30359400,GCA_031797995.1,Klebsiella pneumoniae
,,,PDT001282638.2,SAMN22998562,GCA_022855485.1,Klebsiella pneumoniae
ERR10447115,,,PDT001504890.1,SAMEA111533212,GCA_026528415.1,Klebsiella pneumoniae
ERR1853064,,,PDT000423763.1,SAMEA4532180,GCA_022293875.1,Klebsiella pneumoniae
ERR12132132,,,PDT001958237.1,SAMEA114492534,GCA_033122225.1,Klebsiella pneumoniae
,,,PDT000370066.1,SAMEA3649857,GCA_900501735.1,Klebsiella pneumoniae
,,,PDT002125243.1,SAMN40563601,GCA_037726765.1,Klebsiella pneumoniae
SRR26402153,,,PDT001958765.1,SAMN37851131,GCA_033117415.1,Klebsiella pneumoniae
,,,PDT000631059.1,SAMEA4934899,GCA_902649615.1,Klebsiella pneumoniae
,,,PDT000641451.1,SAMN13381623,GCA_009734105.1,Klebsiella pneumoniae
,,,PDT002125187.1,SAMN40563581,GCA_037722635.1,Klebsiella pneumoniae
,,,PDT000982243.1,SAMN18087516,GCA_017291435.1,Klebsiella pneumoniae
SRR13130535,,,PDT000898109.3,SAMN16895805,GCA_022035975.3,Klebsiella pneumoniae
ERR6293497,,,PDT001091848.1,SAMEA8948741,GCA_021926065.1,Klebsiella pneumoniae
SRR5385635,,,PDT000874695.1,SAMN06438070,GCA_022088325.1,Klebsiella pneumoniae
ERR11818273,,,PDT001873380.1,SAMEA114245615,GCA_031180545.1,Klebsiella pneumoniae
ERR4982105,,,PDT000947370.1,SAMEA7701931,GCA_022020155.1,Klebsiella pneumoniae
,,,PDT001308591.1,SAMN25294371,GCA_023355555.1,Klebsiella pneumoniae
ERR7672112,,,PDT001208190.1,SAMEA11577450,GCA_021863005.1,Klebsiella pneumoniae
SRR21679070,,,PDT001428679.3,SAMN30965864,GCA_025379025.3,Klebsiella pneumoniae
SRR21927633,,,PDT001469316.1,SAMN31309194,GCA_025890595.1,Klebsiella pneumoniae
,,,PDT001524539.1,SAMEA111563119,GCA_947390055.1,Klebsiella pneumoniae
