Run,serotype,antigen_formula,target_acc,biosample_acc,asm_acc,scientific_name
,,,PDT000801624.1,SAMN15595462,GCA_013912665.1,Pseudomonas aeruginosa
SRR18050753,,,PDT001342780.1,SAMN25995953,GCA_023991075.1,Pseudomonas aeruginosa
SRR11468258,,,PDT000753649.1,SAMN14523536,GCA_021694515.1,Pseudomonas aeruginosa
ERR382135,,,PDT000754257.1,SAMEA2175162,GCA_021683955.1,Pseudomonas aeruginosa
,,,PDT001422903.1,SAMN24547416,GCA_025237295.1,Pseudomonas aeruginosa
,,,PDT000172812.1,SAMEA2357294,GCA_900147695.1,Pseudomonas aeruginosa
,,,PDT000096334.1,SAMN04128521,GCA_001450585.1,Pseudomonas aeruginosa
SRR26898231,,,PDT001994258.1,SAMN38343125,GCA_033888425.1,Pseudomonas aeruginosa
,,,PDT001792758.1,SAMN34393105,GCA_030366915.1,Pseudomonas aeruginosa
ERR11407769,,,PDT001902621.1,SAMEA113412911,GCA_032037155.1,Pseudomonas aeruginosa
SRR9866182,,,PDT001211863.1,SAMN12125815,GCA_021592065.1,Pseudomonas aeruginosa
,,,PDT001346902.1,SAMN11339108,GCA_023908685.1,Pseudomonas aeruginosa
SRR28027806,,,PDT002083981.1,SAMN40017363,GCA_036765975.1,Pseudomonas aeruginosa
ERR2397207,,,PDT000424235.1,SAMEA38575918,GCA_021710735.1,Pseudomonas aeruginosa
,,,PDT000411556.1,SAMN07424198,GCA_003833905.1,Pseudomonas aeruginosa
,,,PDT001991779.1,SAMN37042093,GCA_033796865.1,Pseudomonas aeruginosa
,,,PDT000595486.1,SAMEA5693709,GCA_902202265.1,Pseudomonas aeruginosa
,,,PDT000411584.1,SAMN07424192,GCA_003834445.1,Pseudomonas aeruginosa
,,,PDT001347071.1,SAMN11338995,GCA_023911365.1,Pseudomonas aeruginosa
SRR15098275,,,PDT001087604.1,SAMN20032826,GCA_021657555.1,Pseudomonas aeruginosa
,,,PDT000045204.1,SAMN03105652,GCA_000791625.1,Pseudomonas aeruginosa
SRR26898298,,,PDT001994300.1,SAMN38342892,GCA_033887605.1,Pseudomonas aeruginosa
,,,PDT000391978.1,SAMN09478065,GCA_003630975.1,Pseudomonas aeruginosa
,,,PDT001611729.1,SAMN32164116,GCA_028568995.1,Pseudomonas aeruginosa
,,,PDT001858254.1,SAMN36965139,GCA_030846375.1,Pseudomonas aeruginosa
SRR29439304,,,PDT002210106.1,SAMN41879507,GCA_040233445.1,Pseudomonas aeruginosa
SRR18249667,,,PDT001683914.1,SAMN26350744,GCA_029639015.1,Pseudomonas aeruginosa
,,,PDT001730332.1,SAMN34441196,GCA_029987565.1,Pseudomonas aeruginosa
,,,PDT002333267.1,SAMN41455804,GCA_041399505.1,Pseudomonas aeruginosa
,,,PDT000595448.1,SAMEA5693673,GCA_902201845.1,Pseudomonas aeruginosa
SRR5949788,,,PDT000769172.1,SAMN07522532,GCA_021676015.1,Pseudomonas aeruginosa
,,,PDT001395353.2,SAMN29441880,GCA_024718655.1,Pseudomonas aeruginosa
,,,PDT001737511.1,SAMEA112945864,GCA_950097915.1,Pseudomonas aeruginosa
,,,PDT000915777.1,SAMN12220582,GCA_016089895.1,Pseudomonas aeruginosa
,,,PDT001422880.1,SAMN24547441,GCA_025236845.1,Pseudomonas aeruginosa
,,,PDT000068172.1,SAMN03566389,GCA_001035365.1,Pseudomonas aeruginosa
SRR27279243,,,PDT002043296.1,SAMN38917260,GCA_034837975.1,Pseudomonas aeruginosa
,,,PDT002148616.1,SAMN40996654,GCA_038593825.1,Pseudomonas aeruginosa
ERR3184606,,,PDT000768262.1,SAMEA5384705,GCA_021679075.1,Pseudomonas aeruginosa
,,,PDT000045163.1,SAMN03105588,GCA_000790805.1,Pseudomonas aeruginosa
,,,PDT000285350.1,SAMN08434796,GCA_002915615.1,Pseudomonas aeruginosa
,,,PDT002081933.2,SAMN32065061,GCA_036665595.1,Pseudomonas aeruginosa
SRR26898200,,,PDT001994228.1,SAMN38342404,GCA_033889085.1,Pseudomonas aeruginosa
SRR8737557,,,PDT001346599.1,SAMN11110563,GCA_023946275.1,Pseudomonas aeruginosa
DRR514255,,,PDT002042743.1,SAMD00658422,GCA_034815405.1,Pseudomonas aeruginosa
