element_symbol	asm_acc	contig_acc	contig_start	contig_stop	orientation	lesion	lesion_type	aa_identity	nt_identity	ref_accession	ref_desc	ref_start	ref_stop	coverage
adeS	GCA_000581775.1	JEXN01000091.1	2905	3991	2	I100fs	FrameShift	27.34806629834254	98.8029465930018	NZ_JNOT01000030.1	4587	1086	1	100
adeS	GCA_000589595.1	JFWA01000046.1	8604	9667	2	I100fs	FrameShift	27.624309392265193	96.04051565377534	NZ_JNOT01000030.1	4587	1065	1	100
adeS	GCA_000627775.1	JICN01000017.1	42808	43892	2	I100fs	FrameShift	27.624309392265193	98.06629834254142	NZ_JNOT01000030.1	4587	1	1086	100
adeS	GCA_000811405.3	JWXF03000047.1	12127	13190	2	I100fs	FrameShift	27.624309392265193	95.94843462246777	NZ_JNOT01000030.1	4587	1	1065	100
adeS	GCA_001414805.1	LLFO01000116.1	9830	10894	2	Y110STOP	PointMutation	30.110497237569056	95.58011049723758	NZ_JNOT01000030.1	4587	1065	1	100
adeS	GCA_001414915.1	LLFE01000160.1	6540	7626	2	I100fs	FrameShift	27.34806629834254	98.8029465930018	NZ_JNOT01000030.1	4587	1086	1	100
adeS	GCA_001664805.1	LZAC01000035.1	18956	20021	2	G318fs	FrameShift	87.56906077348066	96.13259668508287	NZ_JNOT01000030.1	4587	1	1065	100
adeS	GCA_002145395.1	NGJA01000074.1	7871	8957	2	I100fs	FrameShift	27.34806629834254	98.8029465930018	NZ_JNOT01000030.1	4587	1086	1	100
adeS	GCA_003940045.1	RHYF01000056.1	7311	8397	2	I100fs	FrameShift	27.34806629834254	98.8029465930018	NZ_JNOT01000030.1	4587	1086	1	100
adeS	GCA_003948725.1	RFCO01000076.1	9431	10517	2	I100fs	FrameShift	27.34806629834254	98.8029465930018	NZ_JNOT01000030.1	4587	1	1086	100
adeS	GCA_003949235.1	RFBY01000066.1	9372	10458	2	I100fs	FrameShift	27.34806629834254	98.8029465930018	NZ_JNOT01000030.1	4587	1	1086	100
adeS	GCA_004794165.2	SRZJ02000040.1	317396	318458	2	I100fs	FrameShift	27.34806629834254	94.47513812154693	NZ_JNOT01000030.1	4587	1062	1	100
adeS	GCA_006492055.1	VHEN01000038.1	55993	57077	2	I100fs	FrameShift	27.07182320441989	96.77716390423575	NZ_JNOT01000030.1	4587	1086	1	100
